Year,Reporter Code,Trade Flow Code,Partner Code,Classification,Commodity Code,Quantity Unit Code,Supplementary Quantity,Netweight (kg),Value,Estimation Code
2010,699,1,156,"H3","170199",8,3004000,3004000,2391474,0
2010,699,2,156,"H3","170199",8,3549212,3549212,1677629,6
2010,699,1,156,"H3","170211",8,28232,28232,56278,0
2010,699,1,156,"H3","170230",8,8302211,8302211,5056422,0
2010,699,2,156,"H3","170230",8,11,11,6,6
2010,699,1,156,"H3","170260",8,207904,207904,158251,0
2010,699,1,156,"H3","170290",8,18019,18019,12185,0
2010,699,1,156,"H3","1704",8,1934438,1934438,2828414,0
2010,699,2,156,"H3","1704",8,30621,30621,98155,6
2010,699,1,156,"H3","170410",8,605158,605158,786632,0
2010,699,2,156,"H3","170410",8,452,452,1509,6
2010,699,1,156,"H3","18",1,,,1452859,0
2010,699,2,156,"H3","18",1,,,2046615,0
2010,699,1,156,"H3","1806",1,,106698,224098,0
2010,699,2,156,"H3","1806",1,,402690,2046615,4
2010,699,1,156,"H3","180610",8,9072,9072,19987,0
2010,699,1,156,"H3","180690",8,97626,97626,204111,0
2010,699,2,156,"H3","180690",8,402690,402690,2046615,6
2010,699,1,156,"H3","19",1,,,776571,0
2010,699,2,156,"H3","19",1,,,276221,0
2010,699,1,156,"H3","1901",8,56280,56280,100181,0
2010,699,2,156,"H3","1901",8,3819,3819,8819,6
2010,699,1,156,"H3","190190",8,56280,56280,100181,0
2010,699,2,156,"H3","190190",8,1963,1963,4692,6
2010,699,1,156,"H3","1902",8,35690,35690,52814,0
2010,699,2,156,"H3","1902",8,1391,1391,2218,6
2010,699,1,156,"H3","190211",8,100,100,253,0
2010,699,1,156,"H3","190230",8,23538,23538,39160,0
2010,699,2,156,"H3","190230",8,56,56,117,6
2010,699,1,156,"H3","190300",8,160,160,197,0
2010,699,1,156,"H3","1904",8,14702,14702,27088,0
2010,699,2,156,"H3","1904",8,23467,23467,68148,6
2010,699,1,156,"H3","190420",8,3185,3185,4388,0
2010,699,2,156,"H3","190420",8,139,139,503,6
2010,699,1,156,"H3","190490",8,9617,9617,17947,0
2010,699,2,156,"H3","190490",8,9055,9055,25202,6
2010,699,1,156,"H3","1905",8,401591,401591,596290,0
2010,699,2,156,"H3","1905",8,68773,68773,197036,6
2010,699,2,156,"H3","190510",8,391,391,1455,6
